Status,Month,Agency,Advertiser,Campaign Name,Device,%Savings,TG,Mobile / CTV,Paid/Test,Campaign id,IO id,Line Item ID,Line Item Name,Start Date,End Date,Markets,Planned Reach 1+,Planned Reach 3+,Del Reach 1+,Planned Freq,Del Freq,Planned Budget,Planned Impressions,Del Impressions,Planned views,Deliverd Views,Pld Complete Views,Del Complete Views,Planned CPV,Del Cpv,Planned CPCV,Deliverd CPCV,Planned CPM - Non Bidvid,"Del Cpm/
Bidvid  cpm",Media plan Sheet Link,Paused Date,Reason,
Delivered,July-2025,Social Beat,Adani,Fortune Pehli Dhaar,All,15%,,Mobile ,Paid,,,,,"July 2nd, 2025","July 22nd, 2025",Lucknow,,,,,,,,,,,,,,,,,113,86,,,,
Delivered,,,,,,,,Mobile ,,,,,,"July 2nd, 2025","July 22nd, 2025",Kalcutta,,,,,,,,,,,,,,,,,121,115,,,,
Delivered,,,,,,,,CTV,,,,,,"July 2nd, 2025","July 22nd, 2025",Lucknow,,,,,,,,,,,,,,,,,131,118,,,,
Delivered,,,,,,,,CTV,,,,,,"July 2nd, 2025","July 22nd, 2025",Kalcutta,,,,,,,,,,,,,,,,,156,130,,,,
Delivered,,,,,,,,CTV,,,,,,"July 2nd, 2025","July 22nd, 2025",Delhi NCR,,,,,,,,,,,,,,,,,141,114,,,,
Delivered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.4,112.6,,,,
Delivered,July-2025,,Jyothy Labs,Margo Soap,All,,,,Test,,,,,"June 27th, 2025","July 31st, 2025",,,,,,,,,,,,,,,,,,,,,,,
Delivered,July-2025,,Samsung,Samsung,Mobile,,,,Test,,,,,"July 11th, 2025",Paused,,,,,,,,,,,,,,,,,,,,,,,
Delivered,July-2025,,Marico,Parachute,YT NSK,,,All Devices,Paid,55903569,1021916835,,,"July 15th, 2025","July 31st, 2025",AP/TL,1600041,660977,,4.5,,1044027,,,,,,,,,,,₹145,,,,Bidvid was not implented to this campaing due to saving of less than 10 percent.,
Delivered,,,,Parachute,YT NSK,,,All Devices,Paid,55912041,1022282446,,,"July 15th, 2025","July 31st, 2025",Kerala,1073946,425283,,4.4,,685178,,,,,,,,,,,₹145,,,,,
